Coffee_Name,Acidity_Level,Flavor_Notes,Body,Origin,Roast_Type,Price
Rwandan Peaberry,Bright,Caramel and vanilla,Light,Colombia,Medium Roast,$14.82
Rwandan Peaberry,Bright,Nutty and chocolate,Full,Colombia,Medium Roast,$18.46
Costa Rican Tarrazu,Bright,Nutty and chocolate,Full,Sumatra,Dark Roast,$14.40
Jamaican Blue Mountain,Subtle,Caramel and vanilla,Light,Honduras,Light Roast,$21.74
Honduran Marcala,Balanced,Fruity and floral,Full,Guatemala,Light Roast,$16.06
Honduran Marcala,Subtle,Nutty and chocolate,Full,Ethiopia,Dark Roast,$12.78
Kenyan AA,Balanced,Caramel and vanilla,Light,Rwanda,Light Roast,$21.32
Guatemalan Antigua,Subtle,Caramel and vanilla,Light,Ethiopia,Medium Roast,$21.22
Kenyan AA,Subtle,Nutty and chocolate,Full,Costa Rica,Light Roast,$22.85
Ethiopian Yirgacheffe,Balanced,Nutty and chocolate,Light,Sumatra,Medium Roast,$15.58
Kenyan AA,Balanced,Caramel and vanilla,Light,Colombia,Light Roast,$17.15
Jamaican Blue Mountain,Bright,Caramel and vanilla,Light,Sumatra,Dark Roast,$17.32
Sumatran Mandheling,Balanced,Caramel and vanilla,Medium,Jamaica,Light Roast,$17.26
Guatemalan Antigua,Bright,Nutty and chocolate,Full,Colombia,Dark Roast,$11.29
Colombian Supremo,Bright,Nutty and chocolate,Full,Costa Rica,Light Roast,$21.71
Jamaican Blue Mountain,Subtle,Fruity and floral,Light,Ethiopia,Dark Roast,$16.93
Honduran Marcala,Bright,Caramel and vanilla,Light,Colombia,Light Roast,$17.33
Rwandan Peaberry,Bright,Nutty and chocolate,Light,Brazil,Medium Roast,$19.73
Jamaican Blue Mountain,Balanced,Nutty and chocolate,Light,Guatemala,Light Roast,$19.94
Colombian Supremo,Subtle,Caramel and vanilla,Light,Jamaica,Dark Roast,$17.47
Colombian Supremo,Subtle,Caramel and vanilla,Light,Rwanda,Medium Roast,$13.36
Colombian Supremo,Subtle,Fruity and floral,Light,Honduras,Medium Roast,$21.47
Brazil Santos,Bright,Fruity and floral,Full,Brazil,Dark Roast,$16.74
Honduran Marcala,Balanced,Caramel and vanilla,Full,Jamaica,Dark Roast,$11.00
Honduran Marcala,Bright,Nutty and chocolate,Medium,Costa Rica,Medium Roast,$13.93
Costa Rican Tarrazu,Subtle,Caramel and vanilla,Light,Sumatra,Medium Roast,$15.44
Kenyan AA,Balanced,Nutty and chocolate,Light,Brazil,Medium Roast,$14.66
Guatemalan Antigua,Subtle,Caramel and vanilla,Light,Jamaica,Medium Roast,$13.60
Rwandan Peaberry,Subtle,Fruity and floral,Full,Colombia,Medium Roast,$14.04
Sumatran Mandheling,Balanced,Caramel and vanilla,Light,Rwanda,Light Roast,$20.80
Colombian Supremo,Subtle,Caramel and vanilla,Light,Guatemala,Dark Roast,$17.16
Rwandan Peaberry,Bright,Caramel and vanilla,Light,Ethiopia,Medium Roast,$19.39
Honduran Marcala,Balanced,Fruity and floral,Light,Costa Rica,Light Roast,$22.29
Ethiopian Yirgacheffe,Subtle,Fruity and floral,Light,Ethiopia,Medium Roast,$20.00
Costa Rican Tarrazu,Subtle,Caramel and vanilla,Full,Ethiopia,Medium Roast,$12.91
Ethiopian Yirgacheffe,Subtle,Nutty and chocolate,Light,Costa Rica,Light Roast,$22.69
Sumatran Mandheling,Balanced,Caramel and vanilla,Light,Guatemala,Light Roast,$20.31
Colombian Supremo,Subtle,Nutty and chocolate,Full,Colombia,Medium Roast,$17.37
Guatemalan Antigua,Balanced,Nutty and chocolate,Light,Guatemala,Dark Roast,$11.65
Sumatran Mandheling,Bright,Nutty and chocolate,Full,Costa Rica,Medium Roast,$18.38
Ethiopian Yirgacheffe,Subtle,Nutty and chocolate,Light,Costa Rica,Medium Roast,$17.36
Jamaican Blue Mountain,Balanced,Nutty and chocolate,Full,Honduras,Dark Roast,$19.59
Kenyan AA,Subtle,Nutty and chocolate,Full,Guatemala,Medium Roast,$17.08
Ethiopian Yirgacheffe,Bright,Fruity and floral,Medium,Ethiopia,Light Roast,$19.19
Rwandan Peaberry,Subtle,Caramel and vanilla,Full,Brazil,Dark Roast,$12.15
